,SMIRKS,Source type,Sink type,Ref,source,sink,abs_total_charge
24,"CCC/[N:10]=C/C1=CC=CC=C1.C1C2=C(C=CC=C2)[C:20](=[O:21])OC1=O>>CCC/[N+:10](=C/C1=CC=CC=C1)/[C:20]2(C3=C(CC(=O)O2)C=CC=C3)[O-:21] 10=20;20,21=21",N=C imine,C=O anhydride,"Yuen, J.; Chai, J.; Ding, Y. Bioconjugate ChemistryŠ 2020,Š31,Š12,Š2712-2718",10,20,0
26,"CCC(CC)O.CCC(C(C)[C:20](=[O:21])Cl)O[Si](C)(C)C(C)(C)C.CN(C)C1=CC=[N:10]C=C1>>CCC(CC)O.CCC(C(C)[C:20]([N+:10]1=CC=C(C=C1)N(C)C)([O-:21])Cl)O[Si](C)(C)C(C)(C)C 10=20;20,21=21",N=C pyridine,C=O acyl chloride,"Mori, Kenji; Ishikura, Masaharu[Liebigs Annalen der Chemie, 1989, p. 1263",10,20,0
33,"C1CC([NH:10]C1)C(=O)N.C1=COC(=C1)[C:20](=[O:21])OC2=C(C(=C(C(=C2F)F)F)F)F>>C1CC([NH+:10](C1)[C:20](C2=CC=CO2)([O-:21])OC3=C(C(=C(C(=C3F)F)F)F)F)C(=O)N 10=20;20,21=21",N amine,C=O ester,"RICHTER GEDEON VEGYĆSZETI GYŹR RT.WO2007/39781, 2007, A2; page column 34",10,20,0
34,"CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C.C(C[NH2:10])N>>CC(=CCC1=C(C=C(C=C1[CH:20]([NH2+:10]CCN)[O-:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C 10=20;20,21=21",N amine,C=O aldehyde,"Arredondo, V.A.; et al. Org. Lett. 2019, 21, 6, 1755",10,20,0
35,"CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C.C1=CC=C(C=C1)C[CH:20]=[O:21]>>CC1([NH+:10](C(C(=O)N1C)CC2=CC=CC=C2)[CH:20](CC3=CC=CC=C3)[O-:21])C 10=20;20,21=21",N amine,C=O aldehyde,"Pier Giorgio Cozzi, Andrea Gualandi, Luca Mengozzi and Claire Margaret Wilson, Chapter 18:Imidazolidinones as Asymmetric Organocatalysts , in Sustainable Catalysis: Without Metals or Other Endangered Elements, Part 2, 2015, pp. 164-195",10,20,0
36,"COCC(CC1=CC=CC=C1)[NH2:10].C1CC[C:20](=[O:21])CC1>>COCC(CC1=CC=CC=C1)[NH2+:10][C:20]2(CCCCC2)[O-:21] 10=20;20,21=21",N amine,C=O ketone,"Meyers,A.I.; Williams,D.R.; Erickson,G.W.[Journal of the American Chemical Society, 1981, vol. 103, p. 3081]",10,20,0
37,"C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21]>>C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH+:10]4CCCCC[CH:20]4[O-:21] 10=20;20,21=21",N amine,C=O aldehyde,"Lu, Jun; Xu, Xuenong; Wang, Shaozhong; Wang, Cunde; Hu, Yuefei; Hu, Hongwen[J. Chem. Soc. Perkin 1 (2001), 2002, # 24, p. 2900 - 2903]",10,20,0
38,"CC[NH:10]CC.COC1=CC=C(C=C1)/[CH:20]=[C:21](\C#N)/[C:22](=[O:23])OC>>CC[NH+:10](CC)[CH:20](C1=CC=C(C=C1)OC)[C:21](=[C:22]([O-:23])OC)C#N 10=20;20,21=21,22;22,23=23",N amine,C=C enone,"Srinivasan, C; Radhakrishnan, K; Shunmugasundaram, A[Indian Journal of Chemistry, Section A: Inorganic, Physical, Theoretical and Analytical, 1993, vol. 32, # 12, p. 1092 - 1094]",10,20,0
39,"CCOC(=O)C([C:21](=[CH2:20])[C:22]#[N:23])O.C1=CC(=CC=C1C[NH2:10])Cl>>CCOC(=O)C([C:21](=[C:22]=[N-:23])[CH2:20][NH2+:10]CC1=CC=C(C=C1)Cl)O 10=20;20,21=21,22;22,23=23",N amine,C=C acrylonitrile,https://www.sciencedirect.com/science/article/pii/S0040403900601831?via%3Dihub,10,20,0
40,"C1CC[NH:10]C1.C1=CC(=CC=C1[CH:20]=[O:21])Cl>>C1CC[NH+:10](C1)[CH:20](C2=CC=C(C=C2)Cl)[O-:21] 10=20;20,21=21",N amine,C=O aldehyde,"Isabella Chiarotto, Leonardo Mattiello, and Marta Feroci* Acc. Chem. Res. 2019, 52, 12, 3297-3308",10,20,0
41,"CC(C)(C)[CH:20]=[O:21].C1CC([NH:10]C1)C(=O)O>>CC(C)(C)[CH:20]([NH+:10]1CCCC1C(=O)O)[O-:21] 10=20;20,21=21",N amine,C=O aldehyde,"Orsini, F.; Pelizzoni, F.; Forte, M.; Sisti, M.; Bombieri, G.; Benetollo, F. [Journal of Heterocyclic Chemistry, 1989, vol. 26, p. 837 - 841]",10,20,0
42,"CC(C)[NH:10]C(C)C.CO[C:22](=[O:23])[CH:21]=[CH2:20]>>CC(C)[NH+:10]([CH2:20][CH:21]=[C:22]([O-:23])OC)C(C)C 10=20;20,21=21,22;22,23=23",N amine,C=C enoate,"Ranu, Brindaban C.; Banerjee, Subhash Tetrahedron Lett. 2007, vol. 48, # 1, p. 141 - 143",10,20,0
43,"C/[CH:20]=[C:21]/1\C2=C(C=CC=C2)C=C[C:22]1=[O:23].COC1=C(C=C2C=[N:10]CCC2=C1)OC>>C[CH:20]([C:21]1=[C:22](C=CC2=C1C=CC=C2)[O-:23])[N+:10]3=CC4=CC(=C(C=C4CC3)OC)OC 10=20;20,21=21,22;22,23=23",N imine,C=C enone,"Istvłn Szatmłri, Ferenc F¶l_p Tetrahedron Lett. 2011, 52, 4440-4442",10,20,0
