,reactant_smi,rxn_id,mapped_atoms,reactant_id_no_underbar,elec_sites,MAA Value [kJ/mol],Est. Error [kJ/mol],Type
0,CCC/[N:10]=C/C1=CC=CC=C1,24,{10: 3},24reac0,8,157.71346756467617,14.822544868084226,Double bond
1,CCC/[N:10]=C/C1=CC=CC=C1,24,{10: 3},24reac0,4,151.52838447554709,29.846341676248578,Imine
2,CCC/[N:10]=C/C1=CC=CC=C1,24,{10: 3},24reac0,10,145.14645586722216,15.083801561051477,Double bond
3,CCC/[N:10]=C/C1=CC=CC=C1,24,{10: 3},24reac0,6,145.14645586722216,15.083801561051477,Double bond
4,CCC/[N:10]=C/C1=CC=CC=C1,24,{10: 3},24reac0,3,113.63637742105861,39.57164906337033,Double bond
5,CCC/[N:10]=C/C1=CC=CC=C1,24,{10: 3},24reac0,7,76.88048441706817,15.897344176034329,Double bond
6,CCC/[N:10]=C/C1=CC=CC=C1,24,{10: 3},24reac0,9,76.88048441706817,15.897344176034329,Double bond
7,CCC/[N:10]=C/C1=CC=CC=C1,24,{10: 3},24reac0,5,65.26693517816406,11.046187297608416,Double bond
8,C1C2=C(C=CC=C2)[C:20](=[O:21])OC1=O,24,"{20: 7, 21: 8}",24reac1,10,244.37777323747665,23.132901031314287,Anhydride
9,C1C2=C(C=CC=C2)[C:20](=[O:21])OC1=O,24,"{20: 7, 21: 8}",24reac1,7,234.15966379374044,26.694393960135766,Anhydride
10,C1C2=C(C=CC=C2)[C:20](=[O:21])OC1=O,24,"{20: 7, 21: 8}",24reac1,5,215.65235359889041,21.550648386346992,Double bond
11,C1C2=C(C=CC=C2)[C:20](=[O:21])OC1=O,24,"{20: 7, 21: 8}",24reac1,3,193.2171801964477,19.352445746279315,Double bond
12,C1C2=C(C=CC=C2)[C:20](=[O:21])OC1=O,24,"{20: 7, 21: 8}",24reac1,1,181.58351172636682,21.944759770001202,Double bond
13,C1C2=C(C=CC=C2)[C:20](=[O:21])OC1=O,24,"{20: 7, 21: 8}",24reac1,4,105.52464104793563,27.467407439834997,Double bond
14,C1C2=C(C=CC=C2)[C:20](=[O:21])OC1=O,24,"{20: 7, 21: 8}",24reac1,6,104.08242698412745,27.301535719484274,Double bond
15,C1C2=C(C=CC=C2)[C:20](=[O:21])OC1=O,24,"{20: 7, 21: 8}",24reac1,2,99.44861654962776,35.99756348392526,Double bond
16,C1C2=C(C=CC=C2)[C:20](=[O:21])OC1=O,24,"{20: 7, 21: 8}",24reac1,8,75.7358913809706,29.678822521529163,Double bond
17,C1C2=C(C=CC=C2)[C:20](=[O:21])OC1=O,24,"{20: 7, 21: 8}",24reac1,11,-42.88365583806608,23.99367883827632,Double bond
18,CCC(C(C)[C:20](=[O:21])Cl)O[Si](C)(C)C(C)(C)C,26,"{20: 5, 21: 6}",26reac1,5,205.77249650829708,27.892846763668103,Acyl halide
19,CCC(C(C)[C:20](=[O:21])Cl)O[Si](C)(C)C(C)(C)C,26,"{20: 5, 21: 6}",26reac1,6,54.996261518610034,46.97540692449644,Double bond
20,CN(C)C1=CC=[N:10]C=C1,26,{10: 6},26reac2,3,98.92061603680934,23.474173491530003,Double bond
21,CN(C)C1=CC=[N:10]C=C1,26,{10: 6},26reac2,5,95.86118406050532,12.134676600634382,Double bond
22,CN(C)C1=CC=[N:10]C=C1,26,{10: 6},26reac2,7,95.86118406050532,12.134676600634382,Double bond
23,CN(C)C1=CC=[N:10]C=C1,26,{10: 6},26reac2,4,69.06760915399624,23.24141990517463,Double bond
24,CN(C)C1=CC=[N:10]C=C1,26,{10: 6},26reac2,8,69.06760915399624,23.24141990517463,Double bond
25,CN(C)C1=CC=[N:10]C=C1,26,{10: 6},26reac2,6,-74.23750775893174,25.61290654310322,Double bond
26,C1CC([NH:10]C1)C(=O)N,33,{10: 3},33reac0,5,90.86182609790426,14.546097020765977,Amide
27,C1CC([NH:10]C1)C(=O)N,33,{10: 3},33reac0,6,-132.3666421015073,15.340414514801532,Double bond
28,C1=COC(=C1)[C:20](=[O:21])OC2=C(C(=C(C(=C2F)F)F)F)F,33,"{20: 5, 21: 6}",33reac1,11,302.06756749443053,17.76697546921513,Double bond
29,C1=COC(=C1)[C:20](=[O:21])OC2=C(C(=C(C(=C2F)F)F)F)F,33,"{20: 5, 21: 6}",33reac1,10,301.06651917516507,18.497825854295485,Double bond
30,C1=COC(=C1)[C:20](=[O:21])OC2=C(C(=C(C(=C2F)F)F)F)F,33,"{20: 5, 21: 6}",33reac1,12,301.06651917516507,18.497825854295485,Double bond
31,C1=COC(=C1)[C:20](=[O:21])OC2=C(C(=C(C(=C2F)F)F)F)F,33,"{20: 5, 21: 6}",33reac1,9,283.05146417010894,20.266043924240222,Double bond
32,C1=COC(=C1)[C:20](=[O:21])OC2=C(C(=C(C(=C2F)F)F)F)F,33,"{20: 5, 21: 6}",33reac1,13,283.05146417010894,20.266043924240222,Double bond
33,C1=COC(=C1)[C:20](=[O:21])OC2=C(C(=C(C(=C2F)F)F)F)F,33,"{20: 5, 21: 6}",33reac1,8,229.1604589101101,35.229394744777125,Double bond
34,C1=COC(=C1)[C:20](=[O:21])OC2=C(C(=C(C(=C2F)F)F)F)F,33,"{20: 5, 21: 6}",33reac1,5,209.52951448398528,21.870200955602577,Ester
35,C1=COC(=C1)[C:20](=[O:21])OC2=C(C(=C(C(=C2F)F)F)F)F,33,"{20: 5, 21: 6}",33reac1,1,207.28693940258034,19.724081286268678,Double bond
36,C1=COC(=C1)[C:20](=[O:21])OC2=C(C(=C(C(=C2F)F)F)F)F,33,"{20: 5, 21: 6}",33reac1,4,191.50355945649613,22.842299066596485,Double bond
37,C1=COC(=C1)[C:20](=[O:21])OC2=C(C(=C(C(=C2F)F)F)F)F,33,"{20: 5, 21: 6}",33reac1,3,150.40614831972283,34.98760119865847,Double bond
38,C1=COC(=C1)[C:20](=[O:21])OC2=C(C(=C(C(=C2F)F)F)F)F,33,"{20: 5, 21: 6}",33reac1,0,51.5683360935355,32.225350985655446,Double bond
39,C1=COC(=C1)[C:20](=[O:21])OC2=C(C(=C(C(=C2F)F)F)F)F,33,"{20: 5, 21: 6}",33reac1,6,-1.9184289388938995,28.463102081502104,Double bond
40,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,10,158.46406306293147,16.187680408100256,Aldehyde
41,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,7,142.171672168464,20.021918977138156,Double bond
42,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,8,133.77799359493864,31.10764424042586,Double bond
43,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,5,132.31815312401022,27.86856615580624,Double bond
44,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,6,130.2217773925391,30.301534961288787,Double bond
45,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,11,103.91731336078186,38.57258051940563,Double bond
46,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,9,95.08532384027488,41.92278812834708,Double bond
47,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,4,85.25805505246058,37.33356288123531,Double bond
48,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,27,78.70082242556556,10.769103144707923,Double bond
49,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,23,78.70082242556556,10.769103144707923,Double bond
50,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,25,77.94760488381411,11.750638534609237,Double bond
51,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,17,75.71612353034138,10.47487158749749,Double bond
52,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,19,74.55971866078384,8.148137133201555,Double bond
53,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,15,74.55971866078384,8.148137133201555,Double bond
54,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,14,70.39703156726966,8.010604088409368,Double bond
55,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,24,70.37913748273498,8.134199275380443,Double bond
56,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,26,70.37913748273498,8.134199275380443,Double bond
57,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,22,69.48221036069589,8.445495678380473,Double bond
58,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,16,68.99074351146233,7.692669033811495,Double bond
59,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,18,68.99074351146233,7.692669033811495,Double bond
60,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,2,67.08975053532919,18.695565262665987,Double bond
61,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,1,65.7829485014652,17.73203897690896,Double bond
62,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,4,99.62346902165692,22.156727431477698,Double bond
63,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,11,60.65752876391102,9.422273677166018,Double bond
64,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,13,60.65752876391102,9.422273677166018,Double bond
65,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,10,58.960353201114344,12.537697611853558,Double bond
66,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,14,58.960353201114344,12.537697611853558,Double bond
67,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,12,57.145193190633016,10.42081216707733,Double bond
68,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,9,56.273465683005824,14.491858050580312,Double bond
69,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,5,-88.52572305265383,19.924941333140865,Double bond
70,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,7,181.45968722957372,19.00443995254298,Aldehyde
71,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,3,90.3301984617962,24.714984566830935,Double bond
72,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,0,74.46323638662959,14.256037446007804,Double bond
73,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,2,74.40301873035027,11.970500466119866,Double bond
74,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,4,74.40301873035027,11.970500466119866,Double bond
75,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,1,69.9307019452221,11.042740489844372,Double bond
76,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,5,69.9307019452221,11.042740489844372,Double bond
77,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,8,64.81323635505926,36.58846453761434,Double bond
78,COCC(CC1=CC=CC=C1)[NH2:10],36,{10: 11},36reac0,9,55.824035439481754,9.151712277775204,Double bond
79,COCC(CC1=CC=CC=C1)[NH2:10],36,{10: 11},36reac0,7,55.824035439481754,9.151712277775204,Double bond
80,COCC(CC1=CC=CC=C1)[NH2:10],36,{10: 11},36reac0,5,55.157498107738945,10.408942299523343,Double bond
81,COCC(CC1=CC=CC=C1)[NH2:10],36,{10: 11},36reac0,6,50.903132023634775,18.616583872198476,Double bond
82,COCC(CC1=CC=CC=C1)[NH2:10],36,{10: 11},36reac0,10,50.903132023634775,18.616583872198476,Double bond
83,COCC(CC1=CC=CC=C1)[NH2:10],36,{10: 11},36reac0,8,42.417088834004645,12.492897957727136,Double bond
84,C1CC[C:20](=[O:21])CC1,36,"{20: 3, 21: 4}",36reac1,3,139.5130370401625,17.063032325123643,Ketone
85,C1CC[C:20](=[O:21])CC1,36,"{20: 3, 21: 4}",36reac1,4,-49.22349277628487,14.80867179333185,Double bond
