,reactant_smi,rxn_id,mapped_atoms,reactant_id_no_underbar,nuc_sites,MCA Value [kJ/mol],Est. Error [kJ/mol],Type
0,CCC/[N:10]=C/C1=CC=CC=C1,24,{10: 3},24reac0,3,453.1720054585254,29.90865952494387,Imine
1,CCC/[N:10]=C/C1=CC=CC=C1,24,{10: 3},24reac0,8,324.41692798789893,14.77631630446751,Double bond
2,CCC/[N:10]=C/C1=CC=CC=C1,24,{10: 3},24reac0,4,319.9643767355598,43.820105414527745,Double bond
3,CCC/[N:10]=C/C1=CC=CC=C1,24,{10: 3},24reac0,6,308.89320881107585,15.066980055016856,Double bond
4,CCC/[N:10]=C/C1=CC=CC=C1,24,{10: 3},24reac0,10,308.89320881107585,15.066980055016856,Double bond
5,CCC/[N:10]=C/C1=CC=CC=C1,24,{10: 3},24reac0,7,296.51764937568566,10.439555416570158,Double bond
6,CCC/[N:10]=C/C1=CC=CC=C1,24,{10: 3},24reac0,9,296.51764937568566,10.439555416570158,Double bond
7,CCC/[N:10]=C/C1=CC=CC=C1,24,{10: 3},24reac0,5,271.7336190364178,16.995783078492657,Double bond
8,C1C2=C(C=CC=C2)[C:20](=[O:21])OC1=O,24,"{20: 7, 21: 8}",24reac1,8,313.0149875885584,17.745938947331428,Atom with lone pair
9,C1C2=C(C=CC=C2)[C:20](=[O:21])OC1=O,24,"{20: 7, 21: 8}",24reac1,11,293.44704835477205,18.461514415375717,Atom with lone pair
10,C1C2=C(C=CC=C2)[C:20](=[O:21])OC1=O,24,"{20: 7, 21: 8}",24reac1,6,283.53201861627423,23.633412416591824,Double bond
11,C1C2=C(C=CC=C2)[C:20](=[O:21])OC1=O,24,"{20: 7, 21: 8}",24reac1,4,283.2640512473374,17.223848335507988,Double bond
12,C1C2=C(C=CC=C2)[C:20](=[O:21])OC1=O,24,"{20: 7, 21: 8}",24reac1,3,267.6110177098292,12.460691598628241,Double bond
13,C1C2=C(C=CC=C2)[C:20](=[O:21])OC1=O,24,"{20: 7, 21: 8}",24reac1,9,266.5773868863176,59.7384681546514,Atom with lone pair
14,C1C2=C(C=CC=C2)[C:20](=[O:21])OC1=O,24,"{20: 7, 21: 8}",24reac1,5,265.2603090394101,15.773212963754212,Double bond
15,C1C2=C(C=CC=C2)[C:20](=[O:21])OC1=O,24,"{20: 7, 21: 8}",24reac1,2,251.2938155726321,16.404632352248747,Double bond
16,C1C2=C(C=CC=C2)[C:20](=[O:21])OC1=O,24,"{20: 7, 21: 8}",24reac1,1,242.03903354361597,24.8190143185605,Double bond
17,C1C2=C(C=CC=C2)[C:20](=[O:21])OC1=O,24,"{20: 7, 21: 8}",24reac1,7,107.8561609981895,24.220398325395063,Double bond
18,C1C2=C(C=CC=C2)[C:20](=[O:21])OC1=O,24,"{20: 7, 21: 8}",24reac1,10,92.5745876048971,40.523446935797764,Double bond
19,CCC(CC)O,26,{},26reac0,5,325.91426082745164,12.488544469975007,Atom with lone pair
20,CCC(C(C)[C:20](=[O:21])Cl)O[Si](C)(C)C(C)(C)C,26,"{20: 5, 21: 6}",26reac1,6,330.21667447140135,19.357567604645617,Atom with lone pair
21,CCC(C(C)[C:20](=[O:21])Cl)O[Si](C)(C)C(C)(C)C,26,"{20: 5, 21: 6}",26reac1,8,289.4622369072814,33.38947277364915,Silyl ether
22,CCC(C(C)[C:20](=[O:21])Cl)O[Si](C)(C)C(C)(C)C,26,"{20: 5, 21: 6}",26reac1,5,249.6962664282034,32.92980856527659,Double bond
23,CCC(C(C)[C:20](=[O:21])Cl)O[Si](C)(C)C(C)(C)C,26,"{20: 5, 21: 6}",26reac1,7,180.09198167445385,22.789460412862095,Atom with lone pair
24,CN(C)C1=CC=[N:10]C=C1,26,{10: 6},26reac2,6,499.5172114958077,7.133657345479717,Pyridine like nitrogen
25,CN(C)C1=CC=[N:10]C=C1,26,{10: 6},26reac2,1,418.6634533195292,12.343176126646975,Amine
26,CN(C)C1=CC=[N:10]C=C1,26,{10: 6},26reac2,4,395.521555360933,18.245326991982882,Double bond
27,CN(C)C1=CC=[N:10]C=C1,26,{10: 6},26reac2,8,395.521555360933,18.245326991982882,Double bond
28,CN(C)C1=CC=[N:10]C=C1,26,{10: 6},26reac2,5,277.64457735971445,17.21390185968217,Double bond
29,CN(C)C1=CC=[N:10]C=C1,26,{10: 6},26reac2,7,277.64457735971445,17.21390185968217,Double bond
30,CN(C)C1=CC=[N:10]C=C1,26,{10: 6},26reac2,3,251.05677354919882,31.706115532119853,Double bond
31,C1CC([NH:10]C1)C(=O)N,33,{10: 3},33reac0,3,503.49699977168075,17.6518301548209,Amine
32,C1CC([NH:10]C1)C(=O)N,33,{10: 3},33reac0,6,376.68847831742926,11.732072901898965,Amide
33,C1CC([NH:10]C1)C(=O)N,33,{10: 3},33reac0,7,366.4619413529227,11.746975943671494,Atom with lone pair
34,C1CC([NH:10]C1)C(=O)N,33,{10: 3},33reac0,5,130.85085880942708,37.67053459014266,Double bond
35,C1=COC(=C1)[C:20](=[O:21])OC2=C(C(=C(C(=C2F)F)F)F)F,33,"{20: 5, 21: 6}",33reac1,3,332.3432131030546,22.942951650446755,Double bond
36,C1=COC(=C1)[C:20](=[O:21])OC2=C(C(=C(C(=C2F)F)F)F)F,33,"{20: 5, 21: 6}",33reac1,1,322.87166569056717,21.129112877211174,Double bond
37,C1=COC(=C1)[C:20](=[O:21])OC2=C(C(=C(C(=C2F)F)F)F)F,33,"{20: 5, 21: 6}",33reac1,6,308.7746011282008,20.401140601249466,Ester
38,C1=COC(=C1)[C:20](=[O:21])OC2=C(C(=C(C(=C2F)F)F)F)F,33,"{20: 5, 21: 6}",33reac1,0,303.24179275936757,13.807636082957277,Double bond
39,C1=COC(=C1)[C:20](=[O:21])OC2=C(C(=C(C(=C2F)F)F)F)F,33,"{20: 5, 21: 6}",33reac1,9,273.922924276232,24.99202146261629,Double bond
40,C1=COC(=C1)[C:20](=[O:21])OC2=C(C(=C(C(=C2F)F)F)F)F,33,"{20: 5, 21: 6}",33reac1,13,273.922924276232,24.99202146261629,Double bond
41,C1=COC(=C1)[C:20](=[O:21])OC2=C(C(=C(C(=C2F)F)F)F)F,33,"{20: 5, 21: 6}",33reac1,10,272.7878330918673,19.825336899126278,Double bond
42,C1=COC(=C1)[C:20](=[O:21])OC2=C(C(=C(C(=C2F)F)F)F)F,33,"{20: 5, 21: 6}",33reac1,12,272.7878330918673,19.825336899126278,Double bond
43,C1=COC(=C1)[C:20](=[O:21])OC2=C(C(=C(C(=C2F)F)F)F)F,33,"{20: 5, 21: 6}",33reac1,4,267.73918030670666,21.03966314979494,Double bond
44,C1=COC(=C1)[C:20](=[O:21])OC2=C(C(=C(C(=C2F)F)F)F)F,33,"{20: 5, 21: 6}",33reac1,11,263.48717280168927,22.6693664071714,Double bond
45,C1=COC(=C1)[C:20](=[O:21])OC2=C(C(=C(C(=C2F)F)F)F)F,33,"{20: 5, 21: 6}",33reac1,8,244.89190557130254,26.471658896508895,Double bond
46,C1=COC(=C1)[C:20](=[O:21])OC2=C(C(=C(C(=C2F)F)F)F)F,33,"{20: 5, 21: 6}",33reac1,7,187.36076594017933,21.259570759674396,Atom with lone pair
47,C1=COC(=C1)[C:20](=[O:21])OC2=C(C(=C(C(=C2F)F)F)F)F,33,"{20: 5, 21: 6}",33reac1,2,187.1890808023686,7.920527382085783,Atom with lone pair
48,C1=COC(=C1)[C:20](=[O:21])OC2=C(C(=C(C(=C2F)F)F)F)F,33,"{20: 5, 21: 6}",33reac1,5,116.92485782657491,37.53700750881162,Double bond
49,C1=COC(=C1)[C:20](=[O:21])OC2=C(C(=C(C(=C2F)F)F)F)F,33,"{20: 5, 21: 6}",33reac1,14,85.64810040517823,47.21363035263148,Atom with lone pair
50,C1=COC(=C1)[C:20](=[O:21])OC2=C(C(=C(C(=C2F)F)F)F)F,33,"{20: 5, 21: 6}",33reac1,18,85.64810040517823,47.21363035263148,Atom with lone pair
51,C1=COC(=C1)[C:20](=[O:21])OC2=C(C(=C(C(=C2F)F)F)F)F,33,"{20: 5, 21: 6}",33reac1,16,81.52617411573108,6.483492525588394,Atom with lone pair
52,C1=COC(=C1)[C:20](=[O:21])OC2=C(C(=C(C(=C2F)F)F)F)F,33,"{20: 5, 21: 6}",33reac1,15,78.70223086170874,8.579010761120646,Atom with lone pair
53,C1=COC(=C1)[C:20](=[O:21])OC2=C(C(=C(C(=C2F)F)F)F)F,33,"{20: 5, 21: 6}",33reac1,17,78.70223086170874,8.579010761120646,Atom with lone pair
54,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,2,398.3989272683628,7.869597346855984,Double bond
55,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,8,386.0981788803762,22.48733970674035,Double bond
56,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,6,369.22097462389047,15.323650147200402,Double bond
57,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,11,361.28225701379057,14.734774042938724,Aldehyde
58,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,1,343.1528720894546,17.32424390050881,Double bond
59,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,4,336.46923850366795,24.232500655975684,Double bond
60,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,25,312.6067800681746,9.29503338291038,Double bond
61,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,17,310.6399273989913,7.682990082800359,Double bond
62,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,19,299.7165298750281,7.2072656103479025,Double bond
63,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,15,299.7165298750281,7.2072656103479025,Double bond
64,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,23,299.3277854489004,8.593571466439407,Double bond
65,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,27,299.3277854489004,8.593571466439407,Double bond
66,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,26,293.4004219564684,8.199429478938963,Double bond
67,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,24,293.4004219564684,8.199429478938963,Double bond
68,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,20,292.78209254421887,15.983405048309987,Ether
69,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,9,292.0015514484765,32.64304550600286,Double bond
70,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,18,291.53448631726746,9.575931718579046,Double bond
71,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,16,291.53448631726746,9.575931718579046,Double bond
72,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,12,286.5405889988603,11.433552487388821,Ether
73,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,14,285.26086461992116,10.92529945385671,Double bond
74,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,22,279.689838815265,9.933607262741866,Double bond
75,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,5,260.63605075337307,25.44998994492146,Double bond
76,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,7,233.6693438471691,22.668480885716903,Double bond
77,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,10,180.24293017464234,72.00879969740635,Double bond
78,C(C[NH2:10])N,34,{10: 2},34reac1,2,501.811442695369,11.489304076699096,Amine
79,C(C[NH2:10])N,34,{10: 2},34reac1,3,501.811442695369,11.489304076699096,Amine
80,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,2,423.766484150729,24.29585012287268,Amine
81,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,6,395.2166708442764,17.745036836067555,Atom with lone pair
82,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,5,362.80752634314564,15.871959146971784,Atom with lone pair
83,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,12,311.22533488550386,11.804112009387026,Double bond
84,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,14,309.9104050489536,11.44014389942063,Double bond
85,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,10,309.9104050489536,11.44014389942063,Double bond
86,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,13,306.7798694214751,11.363563093547263,Double bond
87,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,11,306.7798694214751,11.363563093547263,Double bond
88,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,9,277.7052265713991,17.978953146814654,Double bond
89,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,4,184.34275224553426,40.29984234727632,Double bond
90,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,8,328.7043268637592,12.884667250473319,Aldehyde
91,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,0,311.7406188482771,9.148597845177559,Double bond
92,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,4,310.91564592631016,13.335751012902373,Double bond
93,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,2,310.91564592631016,13.335751012902373,Double bond
94,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,5,304.76492305513807,8.031012263311643,Double bond
95,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,1,304.76492305513807,8.031012263311643,Double bond
96,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,3,261.6062972790048,10.335814720006951,Double bond
97,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,7,217.47764802623283,47.46244815860656,Double bond
98,COCC(CC1=CC=CC=C1)[NH2:10],36,{10: 11},36reac0,11,481.98122608067905,10.397801317147618,Amine
99,COCC(CC1=CC=CC=C1)[NH2:10],36,{10: 11},36reac0,1,339.24363986277456,11.715307856368586,Ether
100,COCC(CC1=CC=CC=C1)[NH2:10],36,{10: 11},36reac0,6,322.7497591636358,12.013469420127974,Double bond
101,COCC(CC1=CC=CC=C1)[NH2:10],36,{10: 11},36reac0,10,322.7497591636358,12.013469420127974,Double bond
102,COCC(CC1=CC=CC=C1)[NH2:10],36,{10: 11},36reac0,8,319.74441580769513,10.407914428027949,Double bond
103,COCC(CC1=CC=CC=C1)[NH2:10],36,{10: 11},36reac0,7,303.06417603842135,11.903791563867443,Double bond
104,COCC(CC1=CC=CC=C1)[NH2:10],36,{10: 11},36reac0,9,303.06417603842135,11.903791563867443,Double bond
